,price,volume
2021-12-25 00:00:00+00:00,1.0010800624245206,768417.0988582514
2021-12-25 00:30:00+00:00,1.0058370650882775,229890.600214921
2021-12-25 01:00:00+00:00,1.0066981735853429,209133.63243465868
2021-12-25 01:30:00+00:00,1.00147498767154,820308.4209682028
2021-12-25 02:00:00+00:00,1.0081179175945605,179122.94088040138
2021-12-25 02:30:00+00:00,1.0014671097581238,737039.1657445966
2021-12-25 03:00:00+00:00,1.0017997305537396,901689.5630066559
2021-12-25 03:30:00+00:00,1.001090041811066,867407.8776260477
2021-12-25 04:00:00+00:00,1.0010342233282026,1445247.624940094
2021-12-25 04:30:00+00:00,1.0008284714741364,1334149.9134838954
2021-12-25 05:00:00+00:00,1.0037708556483098,326315.9404679128
2021-12-25 05:30:00+00:00,1.0032956457806321,250957.203021915
2021-12-25 06:00:00+00:00,1.0015794808124958,381204.9131108786
2021-12-25 06:30:00+00:00,1.0013173536687359,479204.35433608684
2021-12-25 07:00:00+00:00,1.0021017104248187,263810.87106781447
2021-12-25 07:30:00+00:00,1.000251381985463,1251299.1471585792
2021-12-25 08:00:00+00:00,1.0004281575070115,856658.0513632187
2021-12-25 08:30:00+00:00,1.002254470006124,378088.1310621143
2021-12-25 09:00:00+00:00,1.0023897808791034,439098.8438960272
2021-12-25 09:30:00+00:00,1.0035091252471466,294628.64208488853
2021-12-25 10:00:00+00:00,1.0030530556609487,343131.4619279046
2021-12-25 10:30:00+00:00,1.0016417071050487,419163.68621201045
2021-12-25 11:00:00+00:00,1.0022705783667143,376371.1726768046
2021-12-25 11:30:00+00:00,1.0009202654917795,514984.1482491494
2021-12-25 12:00:00+00:00,1.0008981095204288,463865.50447136536
2021-12-25 12:30:00+00:00,1.003399166351262,331013.87835009804
2021-12-25 13:00:00+00:00,1.001719298848746,469505.8856980427
2021-12-25 13:30:00+00:00,1.0030790244534016,255952.97156425245
2021-12-25 14:00:00+00:00,1.00062065279566,1216395.07339125
2021-12-25 14:30:00+00:00,1.0005760479103452,963961.9278758402
2021-12-25 15:00:00+00:00,1.0013385917382611,563545.8779389029
2021-12-25 15:30:00+00:00,1.0017524660405492,479336.74583596166
2021-12-25 16:00:00+00:00,1.000654290287403,1538177.6612053183
2021-12-25 16:30:00+00:00,1.0018921230277886,662211.898617667
2021-12-25 17:00:00+00:00,1.0005757594192,1846633.5904444512
2021-12-25 17:30:00+00:00,1.003523179573343,512615.74729737896
2021-12-25 18:00:00+00:00,1.001051043725294,1424577.2948257448
2021-12-25 18:30:00+00:00,1.003139968619745,476399.72262318066
2021-12-25 19:00:00+00:00,1.0008257010534694,1264627.743402542
2021-12-25 19:30:00+00:00,1.0013316123049,566304.9220666678
2021-12-25 20:00:00+00:00,1.0016496756706235,489795.71695341397
2021-12-25 20:30:00+00:00,1.0004713233103792,1773456.8666205218
2021-12-25 21:00:00+00:00,1.0007306263438331,1214194.412676795
2021-12-25 21:30:00+00:00,1.0005297195590321,1285808.406792583
2021-12-25 22:00:00+00:00,1.0015290821531795,329528.95760722156
2021-12-25 22:30:00+00:00,1.0020491568561054,290750.7406209577
2021-12-25 23:00:00+00:00,1.0011888144272334,569473.6697572499
2021-12-25 23:30:00+00:00,1.0013159487504115,394001.020619244
2021-12-26 00:00:00+00:00,1.0006054830494076,886150.6823378622
2021-12-26 00:30:00+00:00,1.0020600443430594,260502.8843514771
2021-12-26 01:00:00+00:00,1.001584490618303,229482.8917010258
2021-12-26 01:30:00+00:00,0.9998232517263886,1638766.5337740153
2021-12-26 02:00:00+00:00,0.9991886068019695,3154386.80184565
2021-12-26 02:30:00+00:00,1.000609789567835,1032690.135672549
2021-12-26 03:00:00+00:00,1.0014513669101617,446075.5413325377
2021-12-26 03:30:00+00:00,1.0004368726251123,996244.8695076957
2021-12-26 04:00:00+00:00,1.000643793346872,1215212.915357612
2021-12-26 04:30:00+00:00,1.0032722670059038,317734.80362658406
2021-12-26 05:00:00+00:00,1.0045731588367035,232789.75216236163
2021-12-26 05:30:00+00:00,1.0022889376759616,353634.53832712746
2021-12-26 06:00:00+00:00,1.0030531458449736,411118.8713792966
2021-12-26 06:30:00+00:00,1.002865472803174,321698.7209012127
2021-12-26 07:00:00+00:00,1.0028826707877299,270054.8323196184
2021-12-26 07:30:00+00:00,1.0006123446607555,1002446.5127388904
2021-12-26 08:00:00+00:00,1.00367959003733,290283.5098906948
2021-12-26 08:30:00+00:00,1.0035761842719582,266019.7568995307
2021-12-26 09:00:00+00:00,1.000614291637209,692161.2699223409
2021-12-26 09:30:00+00:00,1.0011737056519407,799422.5099713593
2021-12-26 10:00:00+00:00,1.0028561118487749,364334.7978893365
2021-12-26 10:30:00+00:00,1.0004890010000804,1686560.710178472
2021-12-26 11:00:00+00:00,1.000443572684452,1276325.585822489
2021-12-26 11:30:00+00:00,1.0011611334937147,955360.0543360874
2021-12-26 12:00:00+00:00,1.002424593474225,691435.7571066606
2021-12-26 12:30:00+00:00,1.0030447101580409,473680.07701089414
2021-12-26 13:00:00+00:00,1.0005389815493535,2020693.4577294504
2021-12-26 13:30:00+00:00,1.000103766581969,2823117.2486469643
2021-12-26 14:00:00+00:00,1.0017632763162077,699913.6921912832
2021-12-26 14:30:00+00:00,1.0003347174055506,1607169.7474251897
2021-12-26 15:00:00+00:00,1.0016565468409462,923510.5192788666
2021-12-26 15:30:00+00:00,1.0010672512559176,802813.7432786514
2021-12-26 16:00:00+00:00,1.000477334148423,2007110.9809297116
2021-12-26 16:30:00+00:00,1.0010988730658192,1013734.2892199619
